RowID,Sport,Name,Active,Type,Status,MaxAge,MinAge,GenderType,MaxPart,MinPart,MinMales,MinFemales,TeamSize,Limit,StartLimit
-77242334,Table Tennis,Table Tennis Ladies Under 18,TRUE,Singles,Open,17,11,Ladies,1,1,0,0,1,16,16
598766075,Table Tennis,Table Tennis Men's Open,TRUE,Singles,Open,29,11,Mens,1,1,0,0,1,16,16
581317793,Table Tennis,Table Tennis Men's Under 18,TRUE,Singles,Open,17,11,Mens,1,1,0,0,1,32,32
767959663,Tennis,Tennis Ladies' Open,TRUE,Singles,Open,29,11,Ladies,1,1,0,0,1,16,16
1550494261,Tennis,Tennis Ladies' Under 18,TRUE,Singles,Open,17,11,Ladies,1,1,0,0,1,16,16
1475053906,Tennis,Tennis Men's Open,TRUE,Singles,Open,29,11,Mens,1,1,0,0,1,16,16
176986064,Tennis,Tennis Men's Under 18,TRUE,Singles,Open,17,11,Mens,1,1,0,0,1,16,16
253464465,Tennis,Tennis Open Mixed Doubles,TRUE,Doubles,Open,29,11,Mixed,2,2,1,1,2,16,16
974422654,Tennis,Tennis Under 18 Mixed Doubles,TRUE,Doubles,Open,17,11,Mixed,2,2,1,1,2,16,16
19238839,Ten Pin Bowling,Ten Pin Bowling Ladies Open,TRUE,Singles,Open,29,11,Ladies,1,1,0,0,1,18,18
-1194592067,Ten Pin Bowling,Ten Pin Bowling Ladies Under 18,TRUE,Singles,Open,17,11,Ladies,1,1,0,0,1,18,18
-74152134,Ten Pin Bowling,Ten Pin Bowling Mens Open,TRUE,Singles,Open,29,11,Mens,1,1,0,0,1,18,18
-1650432008,Ten Pin Bowling,Ten Pin Bowling Mens Under 18,TRUE,Singles,Open,17,11,Mens,1,1,0,0,1,18,18
-124053863,Ten Pin Bowling,Ten Pin Bowling Open Team,TRUE,Team,Open,130,11,Open,3,3,0,0,3,12,12
1926262502,Ten Pin Bowling,Ten Pin Bowling Under 18 Team,TRUE,Team,Open,17,11,Open,3,3,0,0,3,12,12
-700703465,Thunder Hockey,Thunder Hockey A,TRUE,Team,Open,130,11,Open,999,0,0,0,6,12,12
-1500921953,Thunder Hockey,Thunder Hockey B,TRUE,Team,Open,130,11,Open,999,0,0,0,6,24,24
-1901900465,Thunder Hockey,Thunder Hockey C,TRUE,Team,Open,130,11,Open,999,0,0,0,6,60,60
-249993240,Touch Football,Touch Football C,TRUE,Team,Open,130,11,Open,12,0,0,0,6,36,36
-24057626,Touch Football,Touch Football Mixed A,TRUE,Team,Open,130,11,Mixed,12,0,0,2,6,12,12
582575324,Touch Football,Touch Football Mixed B,TRUE,Team,Open,130,11,Mixed,12,0,0,2,6,12,12
-1937764902,Ultimate Frisbee,Ultimate Frisbee Mixed A,TRUE,Team,Open,130,11,Mixed,99,0,0,2,7,12,12
-2112043414,Ultimate Frisbee,Ultimate Frisbee Mixed B,TRUE,Team,Open,130,11,Mixed,12,0,0,2,7,60,60
-1043194717,Ultimate Frisbee,Ultimate Frisbee Mixed C,TRUE,Team,Open,130,11,Mixed,14,0,0,2,7,48,48
1984420942,Ultimate Frisbee,Ultimate Frisbee Mixed Under 18,TRUE,Team,Open,17,11,Mixed,14,0,0,2,7,24,24
901611401,Uno,Uno Open,TRUE,Singles,Open,29,11,Open,1,1,0,0,1,64,64
-1474002666,Uno,Uno Under 18,TRUE,Singles,Open,17,11,Open,1,1,0,0,1,64,64
-1310427937,Volleyball,Volleyball A,TRUE,Team,Open,130,11,Open,12,0,0,0,6,6,6
-1561795276,Volleyball,Volleyball B,TRUE,Team,Open,130,11,Open,14,0,0,0,6,30,30
-226587657,Volleyball,Volleyball Mixed C,TRUE,Team,Open,130,11,Mixed,14,0,0,3,8,72,72
2080808578,Volleyball,Volleyball Mixed Under 18,TRUE,Team,Open,17,11,Mixed,14,0,0,3,8,12,12
